loading previous zp-ontology...
Jul 05, 2017 5:37:07 PM de.charite.zpgen.ZPIDDB <init>
wrong format for entry ZDB-FISH-150901-19250 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-19250 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-19250 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-19741 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-20566 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-21109 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-21109 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-21362 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-21362 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-21985 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-22737 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-22737 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23010 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23024 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23209 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23224 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23224 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23224 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23736 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23736 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23736 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2375 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23777 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2379 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2379 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2379 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-2379 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-23930 expected normal/abnormal, found 'ameliorated'
